hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
1,1,0.049263067512081225,0.48293414930202344,0.09773606
2,1,0.04369560391702718,0.9269152355985658,0.09718388
3,1,0.03878681753462145,0.5864679620647427,0.0966317
4,1,0.032836220108082056,0.08234648812153293,0.09718388
5,1,0.0,0.16655738057611055,0.09773606
6,1,0.01746483736139066,0.0,0.09884042
7,1,0.15027986640894098,0.0,0.10988404
8,1,0.35525839097648576,0.0,0.1109884
9,1,0.5489107022099993,0.0031196040043772067,0.24737714
10,1,0.7114963213555551,0.0,0.26339039
11,1,0.8243649325422623,0.07321432035559008,0.27001657
12,1,0.8879115970548126,0.33714900825641875,0.25897294
13,1,0.8981492063113072,0.374005897850698,0.12147985
14,1,0.847559932189045,0.7122398200900497,0.1198233
15,1,0.736467441724642,0.7818044900364939,0.12921038
16,1,0.6030326729487973,0.7496382624119104,0.11761458
17,1,0.43205377788277305,0.6955473578565128,0.21811154
18,1,0.23550771935740825,0.6167311478440938,0.21258973
19,1,0.05786080999310696,0.6399299144937424,0.20320265
20,1,0.0,0.47771605716512,0.20596356
21,1,0.0,0.4503573093977722,0.16786306
22,1,0.025368166509361606,0.4250701555305945,0.14135837
23,1,0.021689339616835963,0.571360878170612,0.12921038
24,1,0.018557384850090623,0.21338111779042804,0.10712314
1,2,0.024795156108531224,0.05677049848321928,0.09773606
2,2,0.024550123117757502,0.2775470898098127,0.09718388
3,2,0.023627228878386104,0.0,0.0966317
4,2,0.024498153757821616,0.196707859374876,0.09718388
5,2,0.0,0.20228563989333576,0.09773606
6,2,0.015787127578463712,0.13383471934906363,0.09884042
7,2,0.12304646085078852,0.08955075118640102,0.10988404
8,2,0.3254754630621737,0.021098053965565865,0.1109884
9,2,0.522419473782958,0.0,0.24737714
10,2,0.6875791610755049,0.0,0.26339039
11,2,0.80586993793,0.0,0.27001657
12,2,0.8737505751543434,0.029812327325107347,0.25897294
13,2,0.8908522377757522,0.0,0.12147985
14,2,0.8580125024287237,0.08401826153311415,0.1198233
