hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
1,1,0.01824606478405114,0.9218208154569182,0.11430149
2,1,0.018265690400336473,0.9319839473982152,0.11319713
3,1,0.01656444280202592,1.0,0.11154059
4,1,0.01633579074906731,0.7980197540664963,0.11264495
5,1,0.0,0.44541190933482716,0.1109884
6,1,0.04933986984766582,0.6427844280070951,0.14467145
7,1,0.21482474515244862,1.0,0.15019326
8,1,0.4004738858042712,0.4179816969070506,0.16510215
9,1,0.5721864863957966,0.8200310076360114,0.24295969
10,1,0.7134202632250253,0.3362949546121183,0.25069023
11,1,0.817068576871007,0.14745098367492854,0.26725566
12,1,0.8724844800795507,0.06649394261026027,0.26725566
13,1,0.8836836590040748,0.3006750456116192,0.21148537
14,1,0.8436406391439495,0.3321513822510255,0.21148537
15,1,0.7243100673927113,0.20955215791874962,0.18001104
16,1,0.591000202440886,0.21912100892820038,0.19657648
17,1,0.42707611589546574,0.39939013426843945,0.21976808
18,1,0.2480628281097846,0.5598316933116212,0.20375483
19,1,0.08793482002644026,0.6601446375203747,0.19381557
20,1,0.0074376963013613575,0.6193722529379297,0.18829376
21,1,0.0,0.9423225654544282,0.17007178
22,1,0.04139016580383476,0.26042689420952253,0.13859746
23,1,0.03580373052422896,0.0,0.1109884
24,1,0.03486214201809005,0.05942237320196362,0.1082275
1,2,0.014364225395229056,0.0,0.11430149
2,2,0.014952883241239083,0.0,0.11319713
3,2,0.014897479034931433,0.0,0.11154059
4,2,0.014036026365993678,0.0,0.11264495
5,2,0.0,0.0,0.1109884
6,2,0.033193111348438026,0.0,0.14467145
7,2,0.1860703914974741,0.0,0.15019326
8,2,0.374716502637442,0.0,0.16510215
9,2,0.5507184904796415,0.0,0.24295969
10,2,0.7017692542918704,0.05022758249925413,0.25069023
11,2,0.808102187042992,0.039478939756543055,0.26725566
12,2,0.8724040104008081,0.030936618446449043,0.26725566
13,2,0.8818448496621534,0.05235608641095774,0.21148537
14,2,0.8032335404553952,0.039092036337586324,0.21148537
15,2,0.7335848560965925,0.14092629177113203,0.18001104
16,2,0.6022989355675119,0.15994395659307561,0.19657648
17,2,0.33987541237431806,0.13842768081760712,0.21976808
18,2,0.26521843730677147,0.03895684127317707,0.20375483
19,2,0.11602184093926796,0.038711131685404576,0.19381557
20,2,0.015371385887258214,0.09916981433245882,0.18829376
21,2,0.0,0.0,0.17007178
22,2,0.028482366595474776,0.0,0.13859746
23,2,0.022626860301787136,0.10644660027121775,0.1109884
24,2,0.025860317624391834,0.0,0.1082275
1,3,0.013475004243222361,0.24044873707045997,0.11430149
2,3,0.010699343956026465,0.4015106551137116,0.11319713
3,3,0.009983516597303146,0.15448376405934144,0.11154059
4,3,0.00951064742212821,0.45590523373613084,0.11264495
5,3,0.0,0.32348613538934323,0.1109884
6,3,0.06446287293848083,0.1441606041112456,0.14467145
7,3,0.25903076367347827,0.15295551836384183,0.15019326
