시간,총부하MW,실부하MW
2025-05-01 오전 9:30:00,45486.738281,44855.175781
2025-05-01 오전 9:35:00,45843.4375,45193.824219
2025-05-01 오전 9:40:00,45898.628906,45273.738281
2025-05-01 오전 9:45:00,46117.96875,45486.625
2025-05-01 오전 9:50:00,46337.246094,45704.191406
2025-05-01 오전 9:55:00,46547.6875,45920.558594
2025-05-01 오전 10:00:00,46561.863281,45930.496094
2025-05-01 오전 10:05:00,46838.175781,46206.78125
2025-05-01 오전 10:10:00,46948.546875,46315.890625
2025-05-01 오전 10:15:00,47159.933594,46500.363281
2025-05-01 오전 10:20:00,47845.8125,47191.617188
2025-05-01 오전 10:25:00,47946.15625,47283.550781
2025-05-01 오전 10:30:00,48081.855469,47414.117188
2025-05-01 오전 10:35:00,48075.5625,47410.539062
2025-05-01 오전 10:40:00,48458.769531,47784.671875
2025-05-01 오전 10:45:00,48923.605469,48260.304688
2025-05-01 오전 10:50:00,48883.722656,48204.054688
2025-05-01 오전 10:55:00,48819.417969,48141.488281
2025-05-01 오전 11:00:00,48518.378906,47844.570312
2025-05-01 오전 11:05:00,48160.328125,47483.199219
2025-05-01 오전 11:10:00,48185.15625,47506.175781
2025-05-01 오전 11:15:00,48120.71875,47432.5625
2025-05-01 오전 11:20:00,48286.664062,47599.839844
2025-05-01 오전 11:25:00,48327.34375,47646.28125
2025-05-01 오전 11:30:00,48465.070312,47796.652344
2025-05-01 오전 11:35:00,48725.410156,48058.207031
2025-05-01 오전 11:45:00,48952.109375,48275.773438
2025-05-01 오전 11:50:00,49137.613281,48482.523438
2025-05-01 오전 11:55:00,49112.214844,48458.070312
2025-05-01 오후 12:00:00,49440.8125,48811.050781
2025-05-01 오후 12:05:00,49815.179688,49190.933594
2025-05-01 오후 12:10:00,50088.097656,49467.136719
2025-05-01 오후 12:15:00,50160.832031,49548.882812
2025-05-01 오후 12:20:00,50385.519531,49791.28125
2025-05-01 오후 12:25:00,50584.8125,49975.691406
2025-05-01 오후 12:30:00,50686.054688,50065.304688
2025-05-01 오후 12:35:00,50637.414062,49995.203125
2025-05-01 오후 12:40:00,50840.71875,50194.742188
2025-05-01 오후 12:45:00,51073.171875,50459.222656
2025-05-01 오후 12:50:00,51372.785156,50767.597656
2025-05-01 오후 12:55:00,51692.136719,51065.136719
