gen_id,bus,Pg,Qg
32,43,5.499999998,0.20351208438251042
109,152,4.4,1.174249203601689
81,129,8.601873855000001,0.3094168551616228
54,79,8.799999999,-0.42225745314021473
29,40,8.999999999,0.363243210163608
101,145,4.4,-0.25041038545755184
78,126,8.799999999,0.47230800912183984
2,1,7.534241595,0.32017582243878817
1,1,7.999999998,0.32017582243878767
3,1,7.299999999000001,0.32017582243878767
74,126,7.4308475629999995,0.47230800912183984
41,49,8.999999997,0.12966328446351955
53,78,1.1,0.5311591154812256
51,72,9.5,-1.0846827066082838
119,168,7.786871423,-0.4845528516306565
106,152,7.699999999,1.1742492036016887
75,126,8.538995271,0.47230800912183984
42,52,7.863222563000001,-4.031194962
33,43,4.751520354,0.20351208438251042
28,37,8.772843372999999,0.38951114704458284
52,72,9.5,-1.0846827066082834
50,72,10.0,-1.0846827066082838
111,163,8.799999999,2.2472525524719384
63,91,9.5,-1.5316380661715352
121,168,7.2447982920000005,-0.4845528516306565
115,166,9.899999996,4.554313845302905
92,139,8.069759709,-0.4658132836288618
88,133,8.999999959,-1.448260268907857
93,139,7.614351056,-0.4658132836288618
26,33,8.799999999,-4.179550756663073
10,24,6.999999999,1.3564435042582703
120,168,8.799999999,-0.4845528516306565
77,126,8.799999999,0.47230800912183984
87,132,4.4,2.3474826817809546
24,30,8.499999999,0.7711418928008887
58,90,6.999999999,3.1579252532263027
25,30,4.2,0.771141892800889
49,72,10.0,-1.0846827066082834
59,91,10.0,-1.5316380661715352
5,5,2.0,-0.0192065218792485
31,43,8.799999997999999,0.20351208438251042
122,172,7.699999999,1.128992383377769
43,52,7.740960665999999,-3.164651
90,139,7.381323394,-0.465813283628862
39,49,7.7496739649999995,0.1296632844635196
112,163,7.699999999,2.2472525524719384
34,43,4.399999998999999,0.20351208438251042
44,52,7.482516339,-3.164651
94,139,9.075277127,-0.4658132836288618
55,79,8.799999999,-0.42225745314021473
86,129,7.699999999,0.30941685516162254
17,26,9.045927306,0.7647707907039512
99,141,9.5,-0.7823567378273958
71,126,8.880572971,0.47230800912183984
37,44,8.799999999,-1.0746002146987528
47,72,10.0,-1.0846827066082831
9,24,7.999999999,1.3564435042582703
73,126,8.733243515,0.47230800912183984
82,129,7.838672509,0.30941685516162293
79,126,7.7,0.47230800912183984
20,26,8.999999998,0.7647707907039514
6,7,6.903334863,-0.4614193083680578
84,129,7.819464788,0.30941685516162293
104,149,14.0,0.6584477081525424
80,129,8.230742232,0.3094168551616228
98,141,9.5,-0.7823567378273958
113,165,2.090000016,0.012441570943580343
110,158,7.699999999,-3.553792741349051
70,113,4.0,0.5605154360641598
14,24,4.4,1.3564435042582703
7,7,7.4698399140000005,-0.46141930836805756
96,141,10.0,-0.7823567378273956
57,88,4.999999999,-0.608782776152452
8,8,7.999999999,0.9586923408349519
64,91,9.5,-1.5316380661715352
19,26,7.655391033,0.7647707907039514
91,139,8.90588646,-0.4658132836288618
102,147,9.899999998,0.07866957138561599
60,91,10.0,-1.5316380661715352
97,141,10.0,-0.7823567378273956
4,2,4.0,1.0511742956256753
22,28,5.499999999,-1.3043928362001214
11,24,6.999999999,1.35644350425827
35,44,8.799999999,-1.0746002146987532
67,108,7.0,0.08824848426735099
15,25,9.899999999,0.7918738249843689
118,168,8.799999999,-0.4845528516306565
100,141,6.5,-0.7823567378273959
16,26,7.216456891,0.7647707907039513
40,49,7.568390438,0.12966328446351957
21,26,8.799999999,0.7647707907039515
38,49,7.281274443999999,0.1296632844635197
72,126,9.116328385000001,0.47230800912183984
83,129,7.780606285,0.3094168551616226
45,52,7.435815234713705,-10.134297913704568
68,108,7.0,0.08824848426735099
56,79,8.799999999,-0.42225745314021473
36,44,8.799999999,-1.0746002146987528
95,139,7.163690459,-0.46581328362886204
66,108,10.0,0.08824848426735099
76,126,7.203311932,0.47230800912183984
85,129,7.699999999,0.30941685516162293
48,72,10.0,-1.084682706608283
103,147,9.899999999,0.07866957138561605
18,26,8.872249298,0.7647707907039513
30,40,8.799999999,0.363243210163608
105,149,14.0,0.6584477081525425
